"SQGDP8 Chain-type quantity indexes for real GDP by state (2012=100.0)"
"Chain-type quantity indexes for real GDP by state: Private industries (Quantity index)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3","2020:Q4","2021:Q1","2021:Q2","2021:Q3","2021:Q4"
"24000","Maryland",89.482,90.317,92.333,92.672,92.220,92.232,92.440,92.769,91.607,92.713,92.347,93.390,94.718,95.853,95.443,93.872,92.402,92.694,93.341,94.635,96.027,97.398,98.342,99.766,99.035,100.000,99.843,100.587,100.692,99.546,100.456,99.305,100.474,100.051,100.786,101.383,100.993,102.525,103.539,102.983,104.714,105.108,105.711,106.663,108.232,109.371,110.364,111.102,110.954,111.376,112.104,112.977,112.198,112.915,112.619,113.021,112.317,113.105,113.150,112.763,110.886,98.985,106.977,107.018,110.068,108.962,109.309,111.242
"25000","Massachusetts",85.285,85.680,86.757,86.959,87.771,88.096,87.724,89.400,89.178,89.910,91.226,92.559,92.966,94.097,92.840,90.655,90.375,90.144,90.893,91.823,93.504,95.092,96.950,96.938,95.310,98.285,96.719,98.794,99.015,100.303,100.509,100.173,99.849,99.911,100.848,101.209,99.861,101.055,102.801,104.637,105.042,106.479,105.940,107.250,107.048,107.729,109.175,108.586,108.648,109.547,111.012,111.881,113.392,114.729,115.373,115.558,117.272,118.241,119.205,119.184,118.192,106.303,114.624,117.188,118.866,121.642,122.802,125.408
"26000","Michigan",107.424,107.786,107.033,107.190,106.099,106.317,105.812,104.840,106.114,105.813,105.793,103.652,101.521,100.309,97.443,94.352,87.573,88.134,88.475,90.214,90.324,93.780,96.418,96.252,96.716,96.502,96.907,100.140,99.466,100.242,100.275,100.017,101.447,101.463,102.196,102.605,102.020,103.789,104.617,104.484,105.110,106.107,106.585,106.928,107.314,108.840,108.861,109.417,109.208,109.861,109.837,110.787,112.656,113.501,112.983,111.984,112.037,112.812,113.009,112.803,111.344,96.996,110.022,110.811,111.441,115.116,114.866,116.679
"27000","Minnesota",93.450,93.811,95.583,94.713,94.588,95.490,93.597,93.641,93.645,95.461,95.509,96.380,96.416,96.312,97.059,93.537,91.528,91.369,91.569,93.054,93.001,94.576,95.852,98.455,97.068,98.977,98.082,98.823,99.925,99.856,100.319,99.899,101.023,101.667,103.747,104.275,104.132,105.840,107.282,106.598,107.603,106.941,107.635,108.205,108.283,108.599,110.358,110.697,111.482,111.206,110.530,111.819,113.448,114.742,115.387,115.592,114.550,115.187,115.782,116.082,113.966,104.374,111.416,112.762,115.028,117.615,118.135,119.719
"28000","Mississippi",93.712,94.011,95.228,99.153,97.106,99.088,99.111,99.624,98.704,98.044,99.675,100.374,100.419,102.069,100.948,98.474,96.651,96.101,95.432,95.565,95.828,97.337,98.092,97.714,96.145,96.972,97.449,99.053,101.276,100.968,99.903,97.852,100.662,98.721,101.326,99.721,98.937,101.058,100.393,100.135,99.882,100.457,100.748,100.742,101.321,100.788,100.863,101.193,101.913,101.303,101.279,101.301,101.160,102.016,101.112,100.963,100.761,101.045,101.890,103.193,102.490,91.493,101.916,103.347,104.065,104.644,104.918,106.368
"29000","Missouri",96.746,97.757,97.989,98.362,98.335,98.890,97.798,97.523,96.377,98.189,98.795,99.815,99.773,101.553,99.440,100.971,97.381,96.962,97.599,97.978,98.797,99.231,99.604,99.498,97.864,98.412,98.484,99.534,100.385,100.470,99.616,99.530,101.442,101.089,101.348,101.502,100.075,101.697,103.072,103.627,103.461,103.785,103.734,102.741,103.246,103.197,103.279,104.217,103.580,104.587,104.861,105.668,105.414,106.665,106.518,106.705,107.598,107.905,108.759,109.231,107.544,98.375,106.312,108.086,109.214,110.188,110.515,111.890
"30000","Montana",86.858,86.738,87.212,88.472,88.544,89.951,91.046,91.840,94.181,95.360,95.213,96.120,95.998,95.701,95.103,93.287,93.142,91.783,92.454,91.869,94.623,95.119,96.229,97.259,97.721,98.159,98.514,100.543,100.306,99.516,100.070,100.108,101.785,102.012,102.698,102.961,102.989,104.252,105.315,106.059,109.260,109.475,109.535,107.796,105.708,104.418,105.232,107.644,108.314,110.673,110.031,109.564,112.527,112.471,111.187,111.881,112.048,111.606,112.816,113.491,111.957,104.197,112.278,113.536,117.164,118.572,118.194,119.479
"31000","Nebraska",84.156,85.524,86.855,88.143,87.074,90.275,87.786,88.144,90.612,90.849,90.679,92.379,91.644,93.036,91.471,87.237,90.869,90.130,91.223,92.625,92.038,93.980,94.809,95.015,99.334,99.098,99.076,101.665,99.685,100.783,99.788,99.744,103.284,102.309,103.034,102.103,104.583,106.165,106.154,106.771,108.687,109.999,110.416,110.410,108.989,109.987,111.254,112.673,111.158,112.638,112.669,114.089,115.794,115.028,114.593,116.114,115.194,115.750,117.352,119.130,117.896,108.199,117.563,120.985,124.048,122.513,122.309,122.032
"32000","Nevada",105.181,108.553,108.139,109.017,111.080,112.686,111.883,112.500,112.021,111.853,112.486,114.377,111.313,109.784,108.808,105.286,101.157,98.651,97.390,97.363,97.762,99.519,100.918,101.370,100.075,101.783,100.917,100.930,100.767,100.335,99.918,98.980,100.540,99.607,100.293,101.409,100.687,100.657,101.614,102.805,104.154,105.761,106.537,107.345,107.117,107.561,110.086,110.357,112.154,113.256,114.333,114.473,116.956,117.399,117.757,119.607,121.565,122.268,123.794,124.202,123.578,99.495,113.238,114.781,117.492,121.760,122.586,125.259
"33000","New Hampshire",93.557,94.079,94.388,93.938,95.038,95.092,96.018,99.618,95.666,98.074,96.110,96.721,96.444,95.783,94.893,92.199,92.585,92.479,95.297,95.043,95.241,97.678,97.560,97.726,96.423,98.000,98.121,100.084,98.945,99.491,100.246,101.318,101.057,100.577,101.144,101.541,100.504,102.942,102.922,105.279,104.032,106.013,106.389,108.653,107.849,108.918,109.436,108.938,108.797,108.686,110.699,110.321,111.995,112.262,112.456,111.808,114.684,114.798,114.743,115.032,115.390,103.300,113.719,117.088,116.824,122.798,122.949,125.832
