Page 10 of 57,,
February 2021 (FY 2021),,
NationalityVisa Class,,Issuances
China - mainlandC3,,2
China - mainlandE2,,2
China - mainlandE3D,,2
China - mainlandF1,,231
China - mainlandF2,,4
China - mainlandG1,,5
China - mainlandG4,,32
China - mainlandH1B,,140
China - mainlandH4,,33
China - mainlandJ1,,70
China - mainlandJ2,,9
China - mainlandK1,,18
China - mainlandK2,,1
China - mainlandL1,,18
China - mainlandL2,,13
China - mainlandM1,,1
China - mainlandO1,,6
China - mainlandO3,,4
China - mainlandP1,,1
China - mainlandR2,,1
China - TaiwanB1/B2,,86
China - TaiwanC1/D,,94
China - TaiwanE1,,18
China - TaiwanE2,,35
China - TaiwanF1,,58
China - TaiwanF2,,9
China - TaiwanG4,,1
China - TaiwanH1B,,69
China - TaiwanH4,,14
China - TaiwanJ1,,16
China - TaiwanJ2,,6
China - TaiwanK1,,5
China - TaiwanL1,,16
China - TaiwanL2,,23
China - TaiwanM1,,3
China - TaiwanO1,,4
China - TaiwanO3,,1
China - TaiwanP1,,2
China - TaiwanR1,,1
ColombiaA1,,13
ColombiaA2,,100
ColombiaB1,,2
Page 11 of 57,,
February 2021 (FY 2021),,
NationalityVisa Class,,Issuances
ColombiaB1/B2,,765
ColombiaC1,,20
ColombiaC1/D,,51
ColombiaE2,,9
ColombiaF1,,36
ColombiaF2,,1
ColombiaG1,,1
ColombiaG4,,19
ColombiaH1B,,7
ColombiaH2A,,1
ColombiaH4,,7
ColombiaJ1,,387
ColombiaJ2,,8
ColombiaK1,,34
ColombiaK2,,19
ColombiaL1,,12
ColombiaL2,,18
ColombiaM1,,2
ColombiaO1,,8
ColombiaP1,,23
ColombiaP4,,6
ColombiaR1,,4
ColombiaTD,,1
"Congo, Democratic Republic of theA2",,5
"Congo, Democratic Republic of theB1/B2",,46
"Congo, Democratic Republic of theC1",,1
"Congo, Democratic Republic of theF1",,18
"Congo, Democratic Republic of theG4",,16
"Congo, Democratic Republic of theP1",,1
"Congo, Republic of theB2",,1
"Congo, Republic of theC1",,1
"Congo, Republic of theG1",,1
"Congo, Republic of theG4",,1
Costa RicaA2,,1
Costa RicaB1/B2,,"1,625"
Costa RicaC1/D,,6
Costa RicaF1,,14
Costa RicaF2,,1
Costa RicaG1,,2
Costa RicaG4,,1
Costa RicaH1B,,1
Costa RicaH2A,,29
Page 12 of 57,,
February 2021 (FY 2021),,
NationalityVisa Class,,Issuances
Costa RicaH2B,,7
Costa RicaH3,,9
Costa RicaJ1,,6
Costa RicaK2,,2
Costa RicaL1,,4
Costa RicaL2,,8
Costa RicaO1,,1
Costa RicaTD,,1
Cote d'IvoireA1,,1
Cote d'IvoireA3,,1
Cote d'IvoireB1/B2,,7
Cote d'IvoireF1,,6
Cote d'IvoireG4,,2
Cote d'IvoireH1B,,2
Cote d'IvoireJ1,,1
Cote d'IvoireK1,,1
Cote d'IvoireL1,,1
CroatiaB1,,16
CroatiaB1/B2,,47
CroatiaB2,,1
CroatiaC1/D,,49
CroatiaF1,,1
CroatiaG4,,2
CroatiaJ1,,5
CroatiaJ2,,2
CroatiaL1,,2
CroatiaL2,,3
CroatiaNATO2,,6
CroatiaO1,,1
CroatiaO3,,1
CubaA1,,9
CubaB1/B2,,18
CubaB2,,16
CubaC1,,1
CubaC1/D,,1
CubaG1,,20
CubaH1B,,1
CubaK1,,10
CubaL2,,1
CubaP1,,10
CyprusA1,,6
CyprusA2,,1
Page 13 of 57,,
February 2021 (FY 2021),,
NationalityVisa Class,,Issuances
CyprusB1/B2,,10
CyprusC1/D,,5
CyprusF1,,9
CyprusG1,,1
CyprusG2,,1
