"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PITGVG01","Type of goods - Total Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2022","2022","IDX","Index","0","Units","2015_100","2015=100",114.7083,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","1994","1994","IDX","Index","0","Units","2015_100","2015=100",71.725,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","1995","1995","IDX","Index","0","Units","2015_100","2015=100",76.68333,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","1996","1996","IDX","Index","0","Units","2015_100","2015=100",81.68333,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","1997","1997","IDX","Index","0","Units","2015_100","2015=100",84.825,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","1998","1998","IDX","Index","0","Units","2015_100","2015=100",88.56667,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","1999","1999","IDX","Index","0","Units","2015_100","2015=100",89.69167,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",90.725,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2001","2001","IDX","Index","0","Units","2015_100","2015=100",93.05833,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2002","2002","IDX","Index","0","Units","2015_100","2015=100",93.74167,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2003","2003","IDX","Index","0","Units","2015_100","2015=100",93.61667,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",94.65,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2005","2005","IDX","Index","0","Units","2015_100","2015=100",95.8,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2006","2006","IDX","Index","0","Units","2015_100","2015=100",96.125,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2007","2007","IDX","Index","0","Units","2015_100","2015=100",97.63333,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2008","2008","IDX","Index","0","Units","2015_100","2015=100",97.93333,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2009","2009","IDX","Index","0","Units","2015_100","2015=100",98.73333,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",96.41666,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",96.41666,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",96.91666,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",97.80833,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",99.675,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",99.96667,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",99.09167,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",98.79166,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",98.65,,
