State,Quarter20051,Quarter20052,Quarter20053,Quarter20054,Quarter20061,Quarter20062,Quarter20063,Quarter20064,Quarter20071,Quarter20072,Quarter20073,Quarter20074,Quarter20081,Quarter20082,Quarter20083,Quarter20084,Quarter20091,Quarter20092,Quarter20093,Quarter20094,Quarter20101,Quarter20102,Quarter20103,Quarter20104,Quarter20111,Quarter20112,Quarter20113,Quarter20114,Quarter20121,Quarter20122,Quarter20123,Quarter20124,Quarter20131,Quarter20132,Quarter20133,Quarter20134,Quarter20141,Quarter20142,Quarter20143,Quarter20144,Quarter20151,Quarter20152,Quarter20153,Quarter20154,Quarter20161,Quarter20162,Quarter20163,Quarter20164,Quarter20171,Quarter20172,Quarter20173,Quarter20174,Quarter20181,Quarter20182,Quarter20183,Quarter20184,Quarter20191,Quarter20192,Quarter20193,Quarter20194,Quarter20201,Quarter20202,Quarter20203,Quarter20204,Quarter20211,Quarter20212,Quarter20213,Quarter20214
26,1.4,-2.8,0.6,-4,0.8,-1.9,-3.6,5,-1.1,-0.1,-7.9,-8,-4.7,-11,-12.1,-25.8,2.6,1.6,8.1,0.5,16.2,11.7,-0.7,1.9,-0.9,1.7,14,-2.7,3.2,0.1,-1,5.8,0.1,2.9,1.6,-2.3,7.1,3.2,-0.5,2.4,3.9,1.8,1.3,1.4,5.8,0.1,2.1,-0.8,2.4,-0.1,3.5,6.9,3,-1.8,-3.5,0.2,2.8,0.7,-0.7,-5.1,-42.4,65.5,2.9,2.3,13.9,-0.9,6.5,6.5
27,1.6,7.8,-3.6,-0.5,3.9,-7.7,0.2,0,8,0.2,3.7,0.2,-0.4,3.1,-13.7,-8.3,-0.7,0.9,6.6,-0.2,6.9,5.5,11.3,-5.5,8.1,-3.6,3.1,4.5,-0.3,1.9,-1.7,4.6,2.6,8.4,2,-0.5,6.7,5.6,-2.5,3.8,-2.4,2.6,2.1,0.3,1.2,6.6,1.2,2.9,-1,-2.4,4.7,6,4.6,2.3,0.7,-3.6,2.2,2.1,1,-7.1,-29.7,29.8,4.9,8.3,9.3,1.8,5.5,5.5
28,1.3,5.3,17.5,-8,8.4,0.1,2.1,-3.6,-2.6,6.8,2.8,0.2,6.7,-4.3,-9.4,-7.2,-2.3,-2.8,0.6,1.1,6.4,3.1,-1.5,-6.3,3.5,2,6.7,9.3,-1.2,-4.2,-8,12,-7.5,11,-6.2,-3.1,8.9,-2.6,-1,-1,2.3,1.2,0,2.3,-2.1,0.3,1.3,2.9,-2.4,-0.1,0.1,-0.6,3.4,-3.5,-0.6,-0.8,1.1,3.4,5.2,-2.7,-36.5,54,5.7,2.8,2.2,1.1,5.6,5.6
29,4.2,1,1.5,-0.1,2.3,-4.3,-1.1,-4.6,7.7,2.5,4.2,-0.2,7.3,-8.1,6.3,-13.5,-1.7,2.7,1.6,3.4,1.8,1.5,-0.4,-6.4,2.3,0.3,4.3,3.5,0.3,-3.4,-0.3,7.9,-1.4,1,0.6,-5.5,6.6,5.5,2.2,-0.6,1.3,-0.2,-3.8,2,-0.2,0.3,3.7,-2.4,3.9,1.1,3.1,-1,4.8,-0.6,0.7,3.4,1.1,3.2,1.7,-6,-30,36.4,6.8,4.2,3.6,1.2,5.1,5.1
30,-0.5,2.2,5.9,0.3,6.5,5,3.5,10.6,5.1,-0.6,3.9,-0.5,-1.2,-2.5,-7.4,-0.6,-5.7,3,-2.5,12.5,2.1,4.7,4.4,1.9,1.8,1.5,8.5,-0.9,-3.1,2.2,0.1,6.9,0.9,2.7,1,0.1,5,4.1,2.9,12.6,0.8,0.2,-6.2,-7.5,-4.8,3.2,9.5,2.5,9,-2.3,-1.7,11.3,-0.2,-4.5,2.5,0.6,-1.6,4.4,2.4,-5.3,-25,34.8,4.6,13.4,4.9,-1.3,4.4,4.4
31,6.7,6.4,6.1,-4.8,15.5,-10.6,1.6,11.7,1,-0.7,7.7,-3.1,6.2,-6.6,-17.3,17.7,-3.2,4.9,6.3,-2.5,8.7,3.6,0.9,19.5,-0.9,-0.1,10.9,-7.6,4.5,-3.9,-0.2,15,-3.7,2.9,-3.6,10.1,6.2,0,2.3,7.4,4.9,1.5,0,-5.1,3.7,4.7,5.2,-5.3,5.4,0.1,5.1,6.1,-2.6,-1.5,5.4,-3.1,1.9,5.7,6.2,-4.1,-29.1,39.4,12.2,10.5,-4.9,-0.7,-0.9,-0.9
32,13.5,-1.5,3.3,7.8,5.9,-2.8,2.2,-1.7,-0.6,2.3,6.9,-10.3,-5.4,-3.5,-12.3,-14.8,-9.5,-5,-0.1,1.7,7.4,5.7,1.8,-5,7,-3.4,0.1,-0.6,-1.7,-1.7,-3.7,6.5,-3.7,2.8,4.5,-2.8,-0.1,3.9,4.8,5.4,6.3,3,3.1,-0.8,1.7,9.7,1,6.7,4,3.9,0.5,9,1.5,1.2,6.4,6.7,2.3,5.1,1.3,-2,-58,67.8,5.6,9.8,15.3,2.7,9,9
33,2.3,1.3,-1.9,4.8,0.2,3.9,15.9,-15,10.5,-7.8,2.6,-1.1,-2.7,-3.7,-10.9,1.7,-0.5,12.8,-1.1,0.8,10.6,-0.5,0.7,-5.2,6.7,0.5,8.2,-4.5,2.2,3.1,4.3,-1,-1.9,2.3,1.6,-4,10.1,-0.1,9.5,-4.7,7.8,1.4,8.8,-2.9,4,1.9,-1.8,-0.5,-0.4,7.6,-1.4,6.2,1,0.7,-2.3,10.7,0.4,-0.2,1,1.3,-35.8,46.9,12.4,-0.9,22.1,0.5,9.7,9.7
34,3.2,3.6,0.1,3.5,4.3,-2.1,1.7,-5.2,6,1.6,8.1,7.9,0.6,-3.3,-12.6,-9.8,-5.1,2.8,2.8,4,0,3.6,-2.5,-6.3,2.5,-0.6,7.9,4.4,-0.6,2,-5.6,11.6,-3.4,-0.1,1.4,-3.6,2.4,1.2,0.5,3.6,3.3,0.5,-0.1,4.8,-0.6,0.3,-0.3,-1.4,2,2.8,-0.6,5.9,2.3,2.4,2.7,1.2,4.1,2.9,0.5,-2.6,-41,45.1,4,7.2,3.7,3.5,8,8
35,0.3,-7.8,2.4,12.1,3.1,5.4,1.4,-0.3,3.4,1.2,-3.8,-5.7,1.6,3.4,19.3,-2.3,-7.6,-0.4,-2.5,-2.7,-1.5,3.6,12.4,-16.2,7.1,0.6,7.2,-3.1,4.2,-7.3,-7.3,2.5,-0.8,0.9,6.2,-2.3,7.5,8.7,9.8,-2.8,-5,0.8,-3.9,2.3,-4,-2.7,2.8,-2.8,2.7,2.5,0.5,5.4,4.7,-0.1,4.6,5.8,6.8,9.5,3.6,-1.3,-38,31.8,3.3,5.3,2.6,-0.7,10.7,10.7
36,4.2,3.9,4.7,9.2,-4,-1.9,5,14.3,-13.6,-1.4,-3,4.8,-4.7,1.4,-10,5.7,20.4,5.6,5.1,4.8,7.2,-6.5,-4.4,9.6,-5,-0.4,5.4,7.2,7,3.6,4.3,-11.3,3.3,2.4,5,-2.1,3,4.3,3.7,-0.7,4.8,0.3,-5.1,13,2.1,-3.3,0.9,4.8,-3.3,1.8,7.7,0.6,4.5,1.2,-3.7,8.7,5.4,-0.6,1.1,-6.1,-34.8,32.9,4.1,7.3,7.4,2.2,5.5,5.5
37,0.5,4.1,4.3,21.1,2.1,-1,2.8,3.1,-3.2,-1.5,4,11.1,3,-3.8,-10.1,-18.7,6,7.5,7.1,-8.5,2.8,2,6.9,-2.5,5.3,-4.5,1.6,6.9,-4.2,1.9,-3.2,5.7,1.7,6.8,2.7,3,0,3.9,1.3,6.3,3.8,0.8,-1.4,5.9,-0.6,2.3,5.5,3.9,1.1,1.6,4.1,-0.6,4.3,-2,2,3.5,3.4,2.3,1.5,-5.6,-32.8,41.1,5.5,13.1,5.3,1.8,8.5,8.5
38,2.6,-0.8,1.7,10.4,10,-2.1,4.7,8.3,5.5,6.1,12.3,16.5,4.9,7.9,-1.9,3.5,-4.9,9.4,-0.6,7.9,17.3,9.1,12.5,4.2,16.5,18.8,40.1,32,31.3,10,3,-13,6.8,11.8,4.5,8.9,18.1,7.7,8.6,-10.4,-15.4,-3.6,-1.9,-12.8,-12.1,2.3,-1.2,4.3,12.2,-1.8,-0.5,10.3,4.4,1.1,-4.2,-1.7,3.6,4,2.9,2.3,-30.3,14.4,-1.2,9.6,6.3,-3.1,-2.1,-2.1
39,2.5,4.2,-0.1,-1.9,0.6,-1.4,-0.4,1,0.8,0.8,0,-1.7,1.3,-7.3,-17,-0.7,-5.6,0.6,2.7,1.5,5.4,6.3,3.2,2.5,3.9,3.1,8,-5,2.2,-0.4,-3.1,8.5,-0.5,5.2,5.1,0,7.5,6.7,0.4,-2.6,1.4,-1.4,3.5,-2.7,3.6,1.7,1,1.2,1,0.5,0.6,1.9,3.1,1.9,1.8,2.4,2.4,3.1,0.3,-5.4,-35,45.6,4.4,3.5,3,0.5,6.3,6.3
40,4.4,-1.1,-7.1,65.5,-17.2,-5.6,-1.2,7.6,7.8,8.3,0.2,-1.2,9,2,16.7,-12.8,-9.1,1.6,-8.9,-1.8,11.4,3.9,1.4,-6.1,13.6,11.4,11.8,6.5,4.6,-2.6,2.5,4.4,-2.6,2.1,11.3,2.7,11.4,19.9,6.9,2.6,-7.6,9.8,1.1,-8.2,-4,-2.5,-2.2,2.8,5.9,-2.2,0.6,3.7,1.6,-0.4,6.5,-0.7,-0.7,6.2,0.8,-11.3,-33.6,30.3,0.4,1.3,3.7,0.6,9.4,9.4
41,1.9,4.5,3.1,14.5,-1,4.3,3.9,-6.2,5.8,8.3,6.5,1.3,5,-0.5,-13.2,-6.7,-7.5,-0.1,0.4,11.9,-2.1,4.1,1.9,6.9,-0.2,-0.2,7.6,1.6,-0.2,-1,-7.5,7,1.3,4.7,4.2,-2.3,8.1,6.2,2.5,8.4,2.8,7.2,1,9.8,3.1,1,4.8,2.8,5.6,4.9,6.6,5.6,3.6,4.9,1.6,0,1,4,3.6,-4.5,-32.6,34.4,4.1,6.6,4.6,2.2,10.4,10.4
42,3,3.3,2,-5.9,2.9,3.1,1.9,2.9,3.6,7.7,6.8,-0.5,6.5,-4.7,-9.8,-7.5,-0.9,2.1,9.4,-2.1,5.9,5.8,1.8,-3.9,4.7,2.3,6.7,0.6,2.1,0.6,-3.9,4.5,1.9,1.8,3,-1.2,6.1,5.3,2,2.8,0.5,-0.3,0.7,1.9,-0.2,2.3,0.4,-0.7,1.9,3.7,0.7,0.9,1.8,1.5,1.6,1.2,3.3,2.6,1,-5.4,-38.4,42.8,4.8,4.1,5.3,2.1,7.1,7.1
44,7,0.4,6.5,-1,10.4,6,-8.8,-2.4,-8.6,-1.3,-4.4,2.4,-1.9,-3.1,-0.1,-6.5,6,5.3,3,1,3.2,5.5,-1.2,-9.9,11.5,-3.4,3.5,0.4,1.6,-1,-2.6,7.6,-3.7,3.1,2.4,0.2,0.3,0.4,6.1,-1.2,2.8,-3.2,4.6,-6.4,4.7,6.2,-6.2,-6,0.8,5.3,-4.1,-1.6,2.9,-3,3.5,3.7,1.5,-3.1,2.9,-5.2,-34.4,46.8,5.4,-4.4,19.2,2.4,5.2,5.2
45,2,1.9,1.5,6.4,0,-0.3,4.5,1.4,7.1,5.3,3,-8.1,1.2,-6,-14.1,-6.5,-2.7,2.4,5.7,0,4.7,5,3.2,0.9,5.8,-2.7,2.9,5.1,-2.7,-1.9,-3.1,10.5,-2.8,9.2,2.8,0,9.4,1.9,0,5.4,3.8,6.1,1.9,2.1,4.2,2.5,3.6,3.4,1.2,0.5,3.2,5.2,3.4,1.6,3.2,4,-1.4,4.2,2.4,-6.6,-30.5,48.1,4.2,6.3,4.6,1.3,8,8
46,-1.9,3.5,0.7,4.2,2.8,-1.7,-3.2,23.9,2.5,-5.8,2.9,28.6,-5.4,-4.9,-12.5,19.5,4.4,6.9,-3.4,-8.4,2.3,12.7,5,8,7.1,3.3,21.6,-1.1,0.3,-20.7,21.9,0.3,2.1,0.9,0.2,9.6,0.3,-5.5,-5.4,9.1,1.6,3.7,13.3,-14,3.7,8.2,-1.7,2.2,-6.2,-6.7,-6.1,21.9,-6.1,-1.7,-0.9,5.7,-2.8,2.1,1.2,7.3,-27.8,30.5,10.7,8.7,1.3,-1.6,0.7,0.7
47,2.5,5.1,1.5,3.9,3.7,-1.6,4,-7.9,4.5,3.9,5.8,-3.7,-0.2,-3.2,-13.2,-4.7,-2.8,-0.2,5.7,2.7,2.2,2.5,4.1,0.7,5.3,3.4,5.7,4.1,5.5,-3.2,1.7,6.2,-3.8,3.2,1.3,-0.4,4.7,2.9,2,6.1,6.5,2.1,0.8,1,1.1,3.7,4.8,3.1,0.6,1.9,5.3,-1.1,2,1.8,-0.9,5.1,2.1,4,0.9,-2.6,-43.2,59,9.5,14.9,3.2,2.8,11,11
48,-1.2,1.3,4.9,21.1,6.9,4.8,7.8,2.7,8.5,0.9,1.7,-6.6,-2.2,0.3,7.2,-5.2,-5.3,1.3,3.6,3.5,2.8,4.1,4.2,2,6.2,1.7,9.1,6.3,4.3,1.9,8.7,4.4,5.3,5.3,2.2,-4.6,9.3,8.8,5.9,11.3,-4.5,4.9,2.5,-1.3,-0.4,1.9,0.4,4.3,3.8,3.9,4.4,5.6,4.9,1.7,4.1,2.2,3,7.8,2.8,-8.1,-30.3,30.9,6.3,3.7,9.5,3.5,11.3,11.3
