state,date,PUAPEUC,,,,,
VA,2020-05-16,13906,,,,,
WA,2020-05-16,61471,,,,,
WV,2020-05-16,0,,,,,
WI,2020-05-16,8591,,,,,
WY,2020-05-16,897,,,,,
AL,2020-05-23,6044,,,,,
AK,2020-05-23,1493,,,,,
AZ,2020-05-23,0,,,,,
AR,2020-05-23,5084,,,,,
CA,2020-05-23,92368,,,,,
CO,2020-05-23,6635,,,,,
CT,2020-05-23,4491,,,,,
DE,2020-05-23,4875,,,,,
DC,2020-05-23,0,,,,,
FL,2020-05-23,0,,,,,
GA,2020-05-23,0,,,,,
HI,2020-05-23,0,,,,,
ID,2020-05-23,1216,,,,,
IL,2020-05-23,15450,,,,,
IN,2020-05-23,26482,,,,,
IA,2020-05-23,2946,,,,,
KS,2020-05-23,27811,,,,,
KY,2020-05-23,0,,,,,
LA,2020-05-23,25187,,,,,
ME,2020-05-23,20577,,,,,
MD,2020-05-23,14297,,,,,
MA,2020-05-23,147594,,,,,
MI,2020-05-23,196236,,,,,
MN,2020-05-23,2479,,,,,
MS,2020-05-23,9509,,,,,
MO,2020-05-23,6717,,,,,
MT,2020-05-23,4812,,,,,
NE,2020-05-23,1511,,,,,
NV,2020-05-23,37567,,,,,
NH,2020-05-23,0,,,,,
NJ,2020-05-23,89261,,,,,
NM,2020-05-23,3141,,,,,
NY,2020-05-23,250130,,,,,
NC,2020-05-23,43056,,,,,
ND,2020-05-23,1141,,,,,
OH,2020-05-23,44158,,,,,
OK,2020-05-23,1283,,,,,
OR,2020-05-23,2793,,,,,
PA,2020-05-23,80053,,,,,
PR,2020-05-23,67611,,,,,
RI,2020-05-23,3995,,,,,
SC,2020-05-23,17562,,,,,
SD,2020-05-23,875,,,,,
TN,2020-05-23,4040,,,,,
TX,2020-05-23,41204,,,,,
UT,2020-05-23,2300,,,,,
VT,2020-05-23,0,,,,,
VI,2020-05-23,0,,,,,
VA,2020-05-23,12705,,,,,
WA,2020-05-23,21288,,,,,
WV,2020-05-23,0,,,,,
WI,2020-05-23,4458,,,,,
WY,2020-05-23,850,,,,,
AL,2020-05-30,5105,,,,,
AK,2020-05-30,1577,,,,,
AZ,2020-05-30,59075,,,,,
AR,2020-05-30,6928,,,,,
CA,2020-05-30,72785,,,,,
CO,2020-05-30,6414,,,,,
CT,2020-05-30,2682,,,,,
DE,2020-05-30,1019,,,,,
DC,2020-05-30,0,,,,,
FL,2020-05-30,0,,,,,
GA,2020-05-30,0,,,,,
HI,2020-05-30,9279,,,,,
ID,2020-05-30,753,,,,,
IL,2020-05-30,9792,,,,,
IN,2020-05-30,14470,,,,,
IA,2020-05-30,2007,,,,,
KS,2020-05-30,5703,,,,,
KY,2020-05-30,0,,,,,
LA,2020-05-30,5722,,,,,
ME,2020-05-30,13487,,,,,
MD,2020-05-30,10181,,,,,
MA,2020-05-30,54281,,,,,
MI,2020-05-30,79047,,,,,
MN,2020-05-30,1547,,,,,
MS,2020-05-30,10784,,,,,
MO,2020-05-30,5117,,,,,
MT,2020-05-30,4648,,,,,
NE,2020-05-30,1311,,,,,
NV,2020-05-30,18700,,,,,
NH,2020-05-30,0,,,,,
NJ,2020-05-30,48399,,,,,
NM,2020-05-30,2437,,,,,
NY,2020-05-30,82658,,,,,
NC,2020-05-30,33742,,,,,
ND,2020-05-30,602,,,,,
OH,2020-05-30,30381,,,,,
OK,2020-05-30,852,,,,,
OR,2020-05-30,1697,,,,,
PA,2020-05-30,94601,,,,,
PR,2020-05-30,15631,,,,,
RI,2020-05-30,2820,,,,,
SC,2020-05-30,11373,,,,,
SD,2020-05-30,337,,,,,
TN,2020-05-30,6132,,,,,
TX,2020-05-30,32254,,,,,
UT,2020-05-30,1561,,,,,
VT,2020-05-30,511,,,,,
VI,2020-05-30,0,,,,,
VA,2020-05-30,8685,,,,,
WA,2020-05-30,12971,,,,,
WV,2020-05-30,0,,,,,
WI,2020-05-30,3290,,,,,
WY,2020-05-30,439,,,,,
AL,2020-06-06,3556,,,,,
AK,2020-06-06,1362,,,,,
AZ,2020-06-06,96398,,,,,
AR,2020-06-06,5930,,,,,
CA,2020-06-06,71229,,,,,
CO,2020-06-06,10151,,,,,
CT,2020-06-06,2466,,,,,
DE,2020-06-06,698,,,,,
DC,2020-06-06,643,,,,,
FL,2020-06-06,0,,,,,
GA,2020-06-06,0,,,,,
HI,2020-06-06,12059,,,,,
ID,2020-06-06,632,,,,,
IL,2020-06-06,9064,,,,,
IN,2020-06-06,20595,,,,,
IA,2020-06-06,1702,,,,,
KS,2020-06-06,2639,,,,,
KY,2020-06-06,0,,,,,
LA,2020-06-06,8931,,,,,
ME,2020-06-06,3718,,,,,
MD,2020-06-06,9762,,,,,
MA,2020-06-06,20991,,,,,
MI,2020-06-06,38298,,,,,
MN,2020-06-06,1306,,,,,
MS,2020-06-06,8403,,,,,
MO,2020-06-06,4661,,,,,
MT,2020-06-06,2851,,,,,
NE,2020-06-06,1192,,,,,
NV,2020-06-06,16201,,,,,
NH,2020-06-06,0,,,,,
NJ,2020-06-06,23328,,,,,
NM,2020-06-06,2327,,,,,
NY,2020-06-06,81205,,,,,
NC,2020-06-06,28579,,,,,
ND,2020-06-06,594,,,,,
OH,2020-06-06,40133,,,,,
OK,2020-06-06,893,,,,,
OR,2020-06-06,2865,,,,,
PA,2020-06-06,70838,,,,,
PR,2020-06-06,18338,,,,,
RI,2020-06-06,2701,,,,,
SC,2020-06-06,14492,,,,,
SD,2020-06-06,1067,,,,,
TN,2020-06-06,4366,,,,,
TX,2020-06-06,29519,,,,,
UT,2020-06-06,1674,,,,,
VT,2020-06-06,434,,,,,
VI,2020-06-06,0,,,,,
VA,2020-06-06,7691,,,,,
WA,2020-06-06,10637,,,,,
WV,2020-06-06,0,,,,,
WI,2020-06-06,4163,,,,,
WY,2020-06-06,298,,,,,
AL,2020-06-13,3089,,,,,
AK,2020-06-13,1164,,,,,
AZ,2020-06-13,118331,,,,,
AR,2020-06-13,8957,,,,,
CA,2020-06-13,69447,,,,,
CO,2020-06-13,17945,,,,,
CT,2020-06-13,2100,,,,,
DE,2020-06-13,556,,,,,
DC,2020-06-13,852,,,,,
FL,2020-06-13,0,,,,,
GA,2020-06-13,0,,,,,
HI,2020-06-13,14039,,,,,
ID,2020-06-13,348,,,,,
IL,2020-06-13,8987,,,,,
IN,2020-06-13,12016,,,,,
IA,2020-06-13,1720,,,,,
KS,2020-06-13,450,,,,,
KY,2020-06-13,3620,,,,,
LA,2020-06-13,13314,,,,,
ME,2020-06-13,2868,,,,,
MD,2020-06-13,61640,,,,,
MA,2020-06-13,15892,,,,,
MI,2020-06-13,26173,,,,,
MN,2020-06-13,720,,,,,
MS,2020-06-13,8203,,,,,
MO,2020-06-13,5433,,,,,
MT,2020-06-13,2540,,,,,
NE,2020-06-13,1190,,,,,
NV,2020-06-13,24720,,,,,
NH,2020-06-13,0,,,,,
NJ,2020-06-13,23188,,,,,
NM,2020-06-13,2267,,,,,
NY,2020-06-13,53291,,,,,
NC,2020-06-13,24813,,,,,
ND,2020-06-13,603,,,,,
OH,2020-06-13,57760,,,,,
OK,2020-06-13,1121,,,,,
OR,2020-06-13,2744,,,,,
PA,2020-06-13,83662,,,,,
PR,2020-06-13,20501,,,,,
RI,2020-06-13,2638,,,,,
SC,2020-06-13,13819,,,,,
SD,2020-06-13,321,,,,,
TN,2020-06-13,4811,,,,,
TX,2020-06-13,24629,,,,,
UT,2020-06-13,1707,,,,,
VT,2020-06-13,381,,,,,
VI,2020-06-13,0,,,,,
VA,2020-06-13,9103,,,,,
WA,2020-06-13,8609,,,,,
WV,2020-06-13,0,,,,,
WI,2020-06-13,2727,,,,,
WY,2020-06-13,438,,,,,
AL,2020-06-20,3795,,,,,
AK,2020-06-20,1534,,,,,
AZ,2020-06-20,188924,,,,,
AR,2020-06-20,8379,,,,,
CA,2020-06-20,86130,,,,,
CO,2020-06-20,10385,,,,,
CT,2020-06-20,1747,,,,,
DE,2020-06-20,904,,,,,
DC,2020-06-20,830,,,,,
FL,2020-06-20,0,,,,,
GA,2020-06-20,0,,,,,
HI,2020-06-20,8438,,,,,
ID,2020-06-20,698,,,,,
IL,2020-06-20,10820,,,,,
IN,2020-06-20,17439,,,,,
IA,2020-06-20,1557,,,,,
KS,2020-06-20,438,,,,,
KY,2020-06-20,3775,,,,,
LA,2020-06-20,9756,,,,,
ME,2020-06-20,2675,,,,,
MD,2020-06-20,24017,,,,,
MA,2020-06-20,14131,,,,,
MI,2020-06-20,22587,,,,,
MN,2020-06-20,7,,,,,
MS,2020-06-20,7436,,,,,
MO,2020-06-20,3526,,,,,
MT,2020-06-20,2549,,,,,
NE,2020-06-20,1220,,,,,
NV,2020-06-20,29440,,,,,
NH,2020-06-20,0,,,,,
NJ,2020-06-20,18634,,,,,
NM,2020-06-20,2184,,,,,
NY,2020-06-20,71308,,,,,
NC,2020-06-20,23799,,,,,
ND,2020-06-20,689,,,,,
OH,2020-06-20,85597,,,,,
OK,2020-06-20,1172,,,,,
OR,2020-06-20,2710,,,,,
PA,2020-06-20,104940,,,,,
PR,2020-06-20,30535,,,,,
RI,2020-06-20,3083,,,,,
SC,2020-06-20,11896,,,,,
SD,2020-06-20,189,,,,,
TN,2020-06-20,5931,,,,,
TX,2020-06-20,27420,,,,,
UT,2020-06-20,1629,,,,,
VT,2020-06-20,362,,,,,
VI,2020-06-20,0,,,,,
VA,2020-06-20,8545,,,,,
WA,2020-06-20,7996,,,,,
WV,2020-06-20,0,,,,,
WI,2020-06-20,2601,,,,,
WY,2020-06-20,498,,,,,
AL,2020-06-27,3352,,,,,
AK,2020-06-27,1210,,,,,
AZ,2020-06-27,156038,,,,,
AR,2020-06-27,9274,,,,,
CA,2020-06-27,101660,,,,,
CO,2020-06-27,5146,,,,,
CT,2020-06-27,1682,,,,,
DE,2020-06-27,509,,,,,
DC,2020-06-27,623,,,,,
FL,2020-06-27,28380,,,,,
GA,2020-06-27,0,,,,,
HI,2020-06-27,7080,,,,,
ID,2020-06-27,700,,,,,
IL,2020-06-27,32587,,,,,
IN,2020-06-27,15257,,,,,
IA,2020-06-27,1484,,,,,
KS,2020-06-27,733,,,,,
KY,2020-06-27,3892,,,,,
LA,2020-06-27,10207,,,,,
ME,2020-06-27,2241,,,,,
MD,2020-06-27,32931,,,,,
MA,2020-06-27,14154,,,,,
MI,2020-06-27,30675,,,,,
MN,2020-06-27,721,,,,,
MS,2020-06-27,7472,,,,,
MO,2020-06-27,4204,,,,,
MT,2020-06-27,2829,,,,,
NE,2020-06-27,1549,,,,,
NV,2020-06-27,69144,,,,,
NH,2020-06-27,0,,,,,
NJ,2020-06-27,24195,,,,,
NM,2020-06-27,2285,,,,,
NY,2020-06-27,54204,,,,,
NC,2020-06-27,27134,,,,,
ND,2020-06-27,849,,,,,
OH,2020-06-27,50064,,,,,
OK,2020-06-27,1555,,,,,
OR,2020-06-27,4100,,,,,
PA,2020-06-27,164806,,,,,
PR,2020-06-27,37519,,,,,
RI,2020-06-27,3821,,,,,
SC,2020-06-27,11751,,,,,
SD,2020-06-27,165,,,,,
TN,2020-06-27,6881,,,,,
TX,2020-06-27,27620,,,,,
UT,2020-06-27,1675,,,,,
VT,2020-06-27,418,,,,,
VI,2020-06-27,0,,,,,
