time,ym,indmc,uib,numD,numDfull,numDpart,numE,numEfull,numEpart,matched,matchedfull,matchedpart,EXIT,EXITfull,EXITpart,hour,wage_tot,prod,E9,hourfull,hourpart,wage_totfull,wage_totpart,hire,hirefull,hirepart,left,leftfull,leftpart
2014. 05,652,30,,336830,328833,7864,3750,3645,105,7693,5460,2233,7892,6835,1057,184.4,3316668,95.293,17191,185.2,157.4,3363318,1729856,7498,5266,2232,5219,4951,267
2014. 06,653,30,,339135,331051,7951,3063,3037,26,7853,5605,2249,5549,4779,770,184.7,4236955,99.923,17174,185.6,153.1,4286280,2509916,7450,5203,2247,4648,4275,372
2014. 07,654,30,,342793,334593,8069,2100,2068,31,9260,6794,2466,5600,4668,932,208.5,4198195,104.259,17158,209.6,167.2,4260490,1849590,8988,6524,2464,4618,4170,448
2014. 08,655,30,,342906,334722,8054,2455,2449,5,7457,5241,2216,7343,6609,735,163.3,4740259,95.002,17372,163.6,147.9,4791208,2697567,7294,5081,2213,4693,4414,278
2014. 09,656,30,,343336,335233,7973,3115,3031,85,7801,5285,2515,7371,6203,1169,168.5,4034013,89.476,17447,169.1,148.4,4077471,2350731,7525,5012,2512,5896,5530,366
2014. 10,657,30,,344503,336408,7964,3121,3107,14,7403,5478,1925,6237,5681,556,190.4,5140129,91.252,17477,191.3,158.8,5196505,3081624,7260,5336,1924,5528,5172,355
2014. 11,658,30,,346207,338368,7701,2897,2895,2,6626,4665,1961,4929,4116,812,188,3786222,97.948,17676,188.5,161.8,3821025,2195914,6374,4415,1959,3956,3501,455
2014. 12,659,30,,346922,339620,7164,2491,2432,59,7393,4919,2474,6677,5052,1625,201.3,6576619,102.268,17924,202.3,161.7,6660809,3233704,6995,4521,2474,3456,3107,349
2015. 01,660,30,4625,345661,339419,6099,2777,2777,0,7298,5453,1845,8564,6499,2066,192.1,3431256,97.4,18066,192.3,182.6,3439577,3043230,6923,5079,1844,5668,4345,1323
2015. 02,661,30,5250,346880,340859,5907,3500,3500,0,6483,5079,1404,5235,4354,881,159.9,4996390,101.2,18121,160.1,150.7,5026301,3559378,6138,4733,1404,3866,3381,485
