fw,numd,dw,prod,u,v
12.87222184,15.12531851,15.01430502,4.673762977,0.774310168,0.590379024
12.87273362,15.12567197,15.0146399,4.683056725,0.796249874,0.601020378
12.8791229,15.12584408,15.01407934,4.685828089,0.771041536,0.58804391
12.88286954,15.12625156,15.01409125,4.680277658,0.77234313,0.6237717
12.88221178,15.12793553,15.01605282,4.69043003,0.776500387,0.64243719
12.88712629,15.12617498,15.01349908,4.665324109,0.723454586,0.618128602
12.89048279,15.13079215,15.01826647,4.677490848,0.758000543,0.527540253
12.89010047,15.13249262,15.02021478,4.658710953,0.770639053,0.551532578
12.89187008,15.13151844,15.01891409,4.64053733,0.770424468,0.458547887
12.88675392,15.13315502,15.02135246,4.6558633,0.826572524,0.453413458
12.87892194,15.1320732,15.0210661,4.62399194,0.788144357,0.372312242
12.87647123,15.13217506,15.02146723,4.643428898,0.817446274,0.338312186
12.88287495,15.1337517,15.02247722,4.662495253,0.853315234,0.34821742
12.87815984,15.13261319,15.02175887,4.660604893,0.842013379,0.378234292
12.88002108,15.13160775,15.02041682,4.666265285,0.803552132,0.374995797
12.88096899,15.13098001,15.01960356,4.687671407,0.823459309,0.431506989
12.87833911,15.13197509,15.02102491,4.668144985,0.800258228,0.36394808
12.87941038,15.13188153,15.02079454,4.683056725,0.791421735,0.341161937
12.87430827,15.13411317,15.02388431,4.673762977,0.785874345,0.350903672
12.86235743,15.13341205,15.02448598,4.677490848,0.833481264,0.293698115
12.84905879,15.13262042,15.02512368,4.705920089,0.868356463,0.309884905
12.85102748,15.13189868,15.02409615,4.686750173,0.544528894,0.308199518
12.82193778,15.12915358,15.02430626,4.657762636,0.587338453,0.235637464
12.79466854,15.12610379,15.02389805,4.698660529,0.613541748,0.117148425
12.7808287,15.11586106,15.01404163,4.641502115,0.66886376,0.000704342
12.76538364,15.11102372,15.01033468,4.563306003,0.724615275,0.003095893
12.75461503,15.10769587,15.00779177,4.638604962,0.80038912,0.097751769
12.74204214,15.10845477,15.00994108,4.661550519,0.817115978,0.189569866
12.73197348,15.10828898,15.01079498,4.665324109,0.81051453,0.263286485
12.71926007,15.10980914,15.01376137,4.698660529,0.847379957,0.190466199
12.70713795,15.10963426,15.01478302,4.692264893,0.830070053,0.23022165
12.69672328,15.11048044,15.0167427,4.696837375,0.819675112,0.294961687
12.68866363,15.10956243,15.01652374,4.713127327,0.822687231,0.24749041
12.68314362,15.10981846,15.01734122,4.717605615,0.76950517,0.315957819
12.67775611,15.10881095,15.01675705,4.751864565,0.77078466,0.389158814
12.67027746,15.11194449,15.02090794,4.745801316,0.758425428,0.468119731
12.66311916,15.11237271,15.0220562,4.729156166,0.722366556,0.520131054
12.66002549,15.11269962,15.02270585,4.725616339,0.669152548,0.515365005
12.65993063,15.11280621,15.02283144,4.740574823,0.660001998,0.577412764
12.65789171,15.11367428,15.02397272,4.741447804,0.618796302,0.592475157
12.6536737,15.11417653,15.02491677,4.753590191,0.603738095,0.601925407
12.65364842,15.11693715,15.02793713,4.726502471,0.598145658,0.600757402
12.65153272,15.11663013,15.02779829,4.730039168,0.573771803,0.614220308
12.64880374,15.11933757,15.03100927,4.747537427,0.54174866,0.635627384
12.64615272,15.1172702,15.02899582,4.784152842,0.543547786,0.696890615
